販売日（だいたい）,名前,販売元（敬称略）,URL,キャラ,ポリゴン（約）,等身・体格（推測）,胸囲（推測）,けもみみ,しっぽ,角,羽,エルフ耳,ヘイロー
2022/02/26,桔梗,ポンデロニウム研究所,https://booth.pm/ja/items/3681787,少女,108686,中,大,,,,,,
2022/1/1,カリン,あまとうさぎ,https://booth.pm/ja/items/3470989,少女,46414,小,小,o,o,,,,
2023/8/31,マヌカ,STUDIO JINGO,https://booth.pm/ja/items/5058077,少女,117236,中,小,o,o,,,,
2021/10/31,舞夜,キュビクローゼット,https://booth.pm/ja/items/3390957,少女,69117,中,中,,,,,,
2022/12/23,まめひなた,もち山金魚,https://booth.pm/ja/items/4340548,ちびキャラ,57939,小,小,,,,,,
2022/7/28,セレスティア,STUDIO JINGO,https://booth.pm/ja/items/4035411,少女,107161,中,大,,,,,,
2019/7/31,幽狐族のお姉様,FRIENDLY PLANET,https://booth.pm/ja/items/1484117,少女,,小,小,,,,,,
2021/1/1,ラスク,あまとうさぎ,https://booth.pm/ja/items/2559783,少女,29841,小,小,o,o,,,,
2022/8/29,ゾメちゃん,Yorshka Shop,https://booth.pm/ja/items/4118550,少女,65804,小,小,,,o,,,
2021/11/20,竜胆,STUDIO JINGO,https://booth.pm/ja/items/3443188,少女,117224,中,中,o,o,,,,
2023/04/13,萌,キュビクローゼット,https://booth.pm/ja/items/4667400,少女,112374,中,中,o,o,,,,
2023/4/26,生駒ミル,RiBLA Laboratory売店,https://booth.pm/ja/items/3521047,少女,67537,中,大,,,,,,
2022/3/25,RadDollV2,三丁目の魔界,https://booth.pm/ja/items/3741802,少女,87144,中,小,o,o,,,,
2021/09/04,アッシュ ,ぷらすわん,https://booth.pm/ja/items/3234473,少女,78936,小,小,o,o,,,,
2020/7/14,薄荷,mio3io,https://booth.pm/ja/items/2215270,少女,33000,中,中,o,o,,,,
2023/4/30,森羅,mio3io,https://booth.pm/ja/items/4707634,少女,69000,大,中,,,,,,
2020/11/29,狐雪,キュビクローゼット,https://booth.pm/ja/items/2554585,少女,55918,中,小,o,o,,,,
2021/02/28,ここあ,キュビクローゼット,https://booth.pm/ja/items/2780069,少女,,中,大,o,o,,,,
2023/12/1,瑞希,IKUSIA,https://booth.pm/ja/items/5132797,少女,247204,中,大,o,o,,,,
2021/01/30,ウルフェリア,ひゅうがなつみかん,https://booth.pm/ja/items/2709610,少女,64556,中,中,o,o,,,,
2021/2/12,U,QuQu,https://booth.pm/ja/items/2736146,少女,29000,中,小,,,,,,
2019/03/02,ミーシェ,ポンデロニウム研究所,https://booth.pm/ja/items/1256087,少女,,小,小,o,o,,,,
2022/7/30,ナユ,ぷらすわん,https://booth.pm/ja/items/4023598,少女,55984,中,小,,,,,o,
2022/01/06,うささき,もち山金魚,https://booth.pm/ja/items/3550881,ちびキャラ,47526,小,小,o,o,,,,
2020/04/13,リーメ,スタジオシャーロ,https://booth.pm/ja/items/972559,少女,,中,中,,,o,,,
2020/04/13,リーバ,スタジオシャーロ,https://booth.pm/ja/items/972559,少女,,中,中,,,o,,,
2020/02/11,京狐,ひゅうがなつみかん,https://booth.pm/ja/items/1826902,少女,43534,中,中,o,o,,,,
2024/07/12,キプフェル,もち山金魚,https://booth.pm/ja/items/5813187,ちびキャラ,69961,小,小,o,o,,,,
2019/06/15,ロポリこん,みどりの森°　MIDORI NO MORI°,https://booth.pm/ja/items/1415037,ちびキャラ,5000,小,小,o,o,,,,
2021/10/29,みなほし,もち山金魚,https://booth.pm/ja/items/2693309,ちびキャラ,68854,小,小,o,o,,,,
2024/01/01,シフォン,あまとうさぎ,https://booth.pm/ja/items/5354471,少女,82525,小,小,,,,,,
2020/12/09,CyberCat2.0,仮店舗,https://booth.pm/ja/items/1333754,少女,113522,中,小,,,,,,
2023/6/2,ラシューシャ,Keenoo,https://booth.pm/ja/items/4825073,少女,163819,大,大,o,o,,,,
2023/6/30,ライム,あまとうさぎ,https://booth.pm/ja/items/4876459,少女,105923,中,小,,,,,,
2022/7/21,水瀬,mio3io,https://booth.pm/ja/items/4013951,少年,60000,大,中,o,o,,,,
2022/10/14,龍のヨルちゃん,KUYUYU/電脳屋,https://booth.pm/ja/items/3923094,少女,104000,中,大,,o,o,,o,
2022/4/28,ハオラン,かなﾘぁさんち,https://booth.pm/ja/items/3818504,少年,25000,中,小,o,o,,,,
2020/7/31,ミント,あまとうさぎ,https://booth.pm/ja/items/2258111,少女,26994,小,小,,,,,,
2022/9/19,ソフィナ,Luku me,https://booth.pm/ja/items/4044305,少女,68956,中,中,o,o,,,,
2022/6/21,サフィー,仮想VoidCat,https://booth.pm/ja/items/3939858,少女,67542,中,中,o,o,,,,
2020/9/4,メリノ,ポンデロニウム研究所,https://booth.pm/ja/items/2351859,少女,86578,中,中,,,o,,,
2020/1/14,アルディナ,Yorshka Shop,https://booth.pm/ja/items/1777704,少女,27851,小,中,,,,,,
2022/01/07,あのん,こよりLabo,https://booth.pm/ja/items/3564947,少女,83252,中,小,o,o,,,,
2022/02/23,リーファ,ひゅうがなつみかん,https://booth.pm/ja/items/3659436,少女,82129,中,中,,,,,,
2020/06/25,プラチナ,ぷらすわん,https://booth.pm/ja/items/3950859,少女,57055,小,小,,,,,,
2023/3/5,フィオナ,namekuji1337,https://booth.pm/ja/items/4592568,少女,83059,中,小,,,,,,
2022/9/30,ソラハ,こここや,https://booth.pm/ja/items/4208278,少女,68111,小,小,,,,,,
2023/10/8,真冬,ぷらすわん,https://booth.pm/ja/items/5007531,少女,104217,中,中,o,o,,,,
2022/08/27,ルーナリット,ひゅうがなつみかん,https://booth.pm/ja/items/4063740,少女,94703,中,中,,,,,,
2021/08/06,碼希,ひゅうがなつみかん,https://booth.pm/ja/items/3162696,美少年,80106,大,小,,,,,,
2021/8/13,Grus,久,https://booth.pm/ja/items/3190100,少女,56699,中,中,,,,,,
2020/12/26,イヨ,STUDIO JINGO,https://booth.pm/ja/items/2630437,少女,66784,中,中,,,,,,
2021/11/01,まりえる,ひゅうがなつみかん,https://booth.pm/ja/items/3390339,少女,81538,中,中,,,,,,
2023/7/15,デルタフレア,VERMILION .Studio,https://booth.pm/ja/items/4906631,少女,91491,中,小,,,,,,
2021/12/3,トラスとウェッジ,nylonheart,https://booth.pm/ja/items/3472207,少女,47726,中,小,,,,,,
2019/1/28,スノウエルフのお嬢様,FRIENDLY PLANET,https://booth.pm/ja/items/1202638,少女,,小,小,,,,,o,
2020/06/16,リア-アリス,ぷらすわん,https://booth.pm/ja/items/2146588,少女,55766,小,小,,,,,,
2021/6/12,イメリス,STUDIO JINGO,https://booth.pm/ja/items/3040745,少女,67039,大,大,o,o,o,,,
2019/09/21,Noy,Ficsnade,https://booth.pm/ja/items/1572406,少女,,小,小,o,o,,,,
2021/03/05,センティッド,紅茶のお店,https://booth.pm/ja/items/2789739,少女,74901,大,大,o,o,,,,
2020/12/09,サタリナ族のメイドさん,FRIENDLY PLANET,https://booth.pm/ja/items/2589069,少女,40885,中,大,,,o,o,o,
2022/10/29,New NecoMaid,QuQu,https://booth.pm/ja/items/4252664,少女,63000,中,中,,,,,,
2022/05/08,いぬいぬ,zuchicorn shop,https://booth.pm/ja/items/3853613,ケモノ,13000,小,小,o,o,,,,
2021/05/27,セフィラ,ぷらすわん,https://booth.pm/ja/items/2953001,少女,63730,中,小,o,o,,,,
2021/8/18,杏里,mio3io,https://booth.pm/ja/items/3203894,少年,50000,大,小,,,,,,
2022/12/3,ユギ,Saki#,https://booth.pm/ja/items/4358508,少女,"96,898",小,中,o,o,,,,
2022/12/3,ミヨ,Saki#,https://booth.pm/ja/items/4358508,少女,"96,898",小,中,o,o,,,,
2021/7/30,ギモザード,Yorshka Shop,https://booth.pm/ja/items/3152272,少女,67706,中,大,,,,,,
2023/10/07,びしょぬれのしずくさん,KUROMARU9,https://booth.pm/ja/items/3828632,少女,65000,中,小,,,,,,o
2022/11/25,INABA,ゴールデン商会,https://booth.pm/ja/items/4213786,少女,,中,大,o,o,,,,
2022/11/25,椎名,ゴールデン商会,https://booth.pm/ja/items/4213786,少女,,中,中,o,o,,,,
2022/11/25,狐雨,ゴールデン商会,https://booth.pm/ja/items/4213786,少女,,中,大,o,o,,,,
2023/02/01,めいゆん,にげるな屋,https://booth.pm/ja/items/4431242,少女,142372,中,小,o,o,,,,
